name	type	units
Pz	EEG	µV
Cz	EEG	µV
T6	EEG	µV
T4	EEG	µV
F8	EEG	µV
P4	EEG	µV
C4	EEG	µV
F4	EEG	µV
Fz	EEG	µV
T5	EEG	µV
T3	EEG	µV
F7	EEG	µV
P3	EEG	µV
C3	EEG	µV
F3	EEG	µV
